City,Country,CostofLivingIndex,RentIndex,CostofLivingPlusRentIndex,GroceriesIndex,RestaurantPriceIndex,LocalPurchasingPowerIndex,latitude,longitude,Year
Gurgaon,India,30.76,9.78,20.88,29.14,21.82,81.22,28.4594965,77.0266383,2016
Hyderabad,India,23.48,5.85,15.18,24.37,20.63,63.66,17.385044,78.486671,2016
Indore,India,23.74,4.12,14.5,22.9,26.61,106.17,22.7195687,75.8577258,2016
Jaipur,India,24.81,4.2,15.11,24.46,14.33,85.16,26.9124336,75.7872709,2016
Kochi,India,22.82,5.09,14.47,24.31,16.29,46.74,9.9312328,76.2673041,2016
Kolkata,India,25.45,6.52,16.53,25.24,14.66,81.83,22.572646,88.363895,2016
Lucknow (Lakhnau),India,26.25,4.95,16.22,26.66,12.76,82.94,26.8466937,80.946166,2016
Mangalore,India,21.88,5.15,14,21.21,15.74,58.91,12.9141417,74.8559568,2016
Mumbai,India,28.82,20.86,25.07,29.16,20.43,65.71,19.0759837,72.8776559,2016
Mysore,India,25.37,4.43,15.51,30.65,12.71,114.63,12.2958104,76.6393805,2016
Nagpur,India,23.09,4.22,14.2,24.32,21.56,69.56,21.1458004,79.0881546,2016
Navi Mumbai,India,25.7,9.39,18.02,25.27,11.84,39.28,19.0330488,73.0296625,2016
Noida,India,27.14,6.67,17.5,27.25,16.84,69.95,28.5355161,77.3910265,2016
Pune,India,25.58,7.44,17.04,26.15,20.83,92.33,18.5204303,73.8567437,2016
Surat,India,25.17,4.78,15.57,24.46,19.74,100.67,21.1702401,72.8310607,2016
Thane,India,27.73,8.56,18.7,28.16,17.7,116.27,19.2183307,72.9780897,2016
Thiruvananthapuram,India,19.55,4.57,12.5,19.83,20.27,58.87,8.5241391,76.9366376,2016
Vadodara,India,26.1,4.3,15.83,27.59,18.03,60.4,22.3071588,73.1812187,2016
Visakhapatnam,India,24.11,5.34,15.27,25.43,11.39,81.6,17.6868159,83.2184815,2016
Bali,Indonesia,39.7,13.57,27.4,42.44,18.39,76.13,-8.3405389,115.0919509,2016
Bandung,Indonesia,35.51,7.67,22.4,41.88,14.03,58.98,-6.9174639,107.6191228,2016
Jakarta,Indonesia,45.24,24.89,35.66,48.74,22.62,26.44,-6.2087634,106.845599,2016
Surabaya,Indonesia,40.92,11.78,27.2,42.55,15.87,29.78,-7.2574719,112.7520883,2016
Yogyakarta,Indonesia,37.83,7.64,23.61,36.93,25.44,44.09,-7.7955798,110.3694896,2016
Tehran,Iran,40.27,22.04,31.69,35.34,22.53,29.07,35.6891975,51.3889736,2016
Baghdad,Iraq,47.87,17.03,33.35,36.71,14.48,18.06,33.315241,44.3660671,2016
Irbil,Iraq,57.3,20.32,39.89,41.98,35.31,45.95,36.2062933,44.0088697,2016
Cork,Ireland,75.88,34.98,56.62,64.79,45.15,63.93,51.8985143,-8.4756035,2016
Dublin,Ireland,82.25,50.65,67.37,66.17,59.79,45.09,53.3498053,-6.2603097,2016
Galway,Ireland,72.5,30.74,52.84,58.31,79.56,135,53.270668,-9.0567905,2016
Limerick,Ireland,88.14,22.25,57.11,83.24,87.55,106.56,52.6638367,-8.6267343,2016
Haifa,Israel,74.22,21.13,49.22,59.53,77.72,104.15,32.7940463,34.989571,2016
Jerusalem,Israel,76.77,30.54,55,61.57,77.41,84.54,31.768319,35.21371,2016
Ramat Gan,Israel,81.18,30.86,57.49,67.72,82.73,103.11,32.068424,34.824785,2016
Tel AvivNAyafo,Israel,81.12,39.8,61.66,66.51,82.99,95.44,32.0852999,34.7817676,2016
Bergamo,Italy,73.26,20.52,48.43,58,87.36,91.46,45.6982642,9.6772698,2016
Florence,Italy,73.74,28.51,52.44,60.99,73.98,98.03,43.7695604,11.2558136,2016
Genoa,Italy,75.35,21.5,49.99,67.4,66.43,102.19,44.4056499,8.946256,2016
Milan,Italy,76.2,39.25,58.8,65.34,77.62,72.14,45.4642035,9.189982,2016
Naples,Italy,67.86,22.27,46.39,63.45,77.26,79.48,40.8517983,14.26812,2016
Padova,Italy,72.54,22.24,48.86,59.31,85.11,86.71,45.4064349,11.8767611,2016
Parma,Italy,72.7,24.11,49.82,59.17,62.34,50.74,44.801485,10.3279036,2016
Rome,Italy,71.79,38.7,56.21,60.38,74.26,73.55,41.9027835,12.4963655,2016
Trieste,Italy,68.7,20.97,46.23,59.26,84.74,88.43,45.6495264,13.7768182,2016
Turin,Italy,69.16,21.03,46.5,59.79,77,82.5,45.0703393,7.686864,2016
Osaka,Japan,78.5,23.56,52.63,81.27,71.32,90.07,34.6937249,135.5022535,2016
Tokyo,Japan,89.74,43.44,67.94,94.03,38.32,36.87,35.6761919,139.6503106,2016
Amman,Jordan,58.61,13.71,37.47,48.76,42.93,105.08,31.9453666,35.9283716,2016
Almaty,Kazakhstan,31.03,12.24,22.18,25.15,55.66,98.09,43.2220146,76.8512485,2016
Astana,Kazakhstan,31.02,16.27,24.07,23.47,57.05,46.07,51.1605227,71.4703558,2016
Nairobi,Kenya,42.39,16.82,30.35,37.45,32.52,50.24,-1.2920659,36.8219462,2016
Riga,Latvia,49.57,13.26,32.47,36.19,32.11,45.96,56.9496487,24.1051865,2016
Beirut,Lebanon,62.26,40.23,51.88,45.48,33.59,29.12,33.8937913,35.5017767,2016
Kaunas,Lithuania,46.3,10.24,29.32,34.83,45.09,56.92,54.8985207,23.9035965,2016
Vilnius,Lithuania,48.62,15.39,32.98,37.79,61.06,60.16,54.6871555,25.2796514,2016
Luxembourg,Luxembourg,80.99,51.47,67.09,61.68,40.08,53.56,49.611621,6.1319346,2016
Skopje,Macedonia,35.72,8.69,22.99,28.3,42.05,57.9,41.9960421,21.431647,2016
Johor Bahru,Malaysia,42.39,11.98,28.07,48.59,100.81,148.47,1.492659,103.7413591,2016
Kota Kinabalu,Malaysia,49.08,8.46,29.96,52.52,27.61,41.69,5.980408,116.0734568,2016
Kuala Lumpur,Malaysia,44.07,18.08,31.84,45.41,20.38,63.32,3.139003,101.686855,2016
Penang,Malaysia,45.86,9.53,28.75,50.78,24.77,59.29,5.4163935,100.3326786,2016
Selangor,Malaysia,43.91,11.88,28.83,49.84,25.25,90.73,3.0738379,101.5183469,2016
Male,Maldives,60.28,32.02,46.97,58.34,23.44,77.63,35.937496,14.375416,2016
Sliema,Malta,68.43,28.99,49.86,58.42,19.28,102.6,35.9110081,14.502904,2016
Cancun,Mexico,37.89,11.22,25.34,30.94,43.27,31.83,21.161908,-86.8515279,2016
Guadalajara,Mexico,30.92,7.76,20.01,29.85,81.58,75.11,20.6596988,-103.3496092,2016
Merida,Mexico,33.13,8.07,21.33,31.42,35.53,63.52,20.9673702,-89.5925857,2016
Mexico City,Mexico,37.2,17.69,28.02,33.82,26.46,52.5,19.4326077,-99.133208,2016
Monterrey,Mexico,35.9,12.61,24.93,33.47,26.42,41.07,25.6866142,-100.3161126,2016
Puerto Vallarta,Mexico,33.24,10.96,22.74,30.52,33.78,59.81,20.653407,-105.2253316,2016
Queretaro,Mexico,34.81,9.74,23.01,33.68,32.04,117.66,20.5887932,-100.3898881,2016
Tijuana,Mexico,33.37,8.14,21.49,31.39,29.72,211.17,32.5149469,-117.0382471,2016
Chisinau,Moldova,27.16,8.04,18.16,21.15,26.73,84.13,47.0104529,28.8638102,2016
Ulaanbaatar,Mongolia,61.3,36.64,49.69,60.17,30.48,65.27,47.8863988,106.9057439,2016
Podgorica,Montenegro,40.22,12.56,27.2,30.82,19.5,30.14,42.4304196,19.2593642,2016
Casablanca,Morocco,37.43,14.72,26.73,33.55,31.83,21.61,33.5731104,-7.5898434,2016
Rabat,Morocco,39.42,12.41,26.7,33.71,36.28,52.54,33.9715904,-6.8498129,2016
Kathmandu,Nepal,31.77,4.52,18.94,28.69,25.22,49.44,27.7172453,85.3239605,2016
Amsterdam,Netherlands,79.9,50.82,66.21,63.04,26.2,41.95,52.3679843,4.9035614,2016
Eindhoven,Netherlands,70.22,31.41,51.94,53.39,18.51,27.1,51.441642,5.4697225,2016
Groningen,Netherlands,70.06,27.14,49.85,57.02,87.52,105.97,53.2193835,6.5665017,2016
Maastricht,Netherlands,73.37,30.33,53.1,58.37,80.14,120.08,50.8513682,5.6909725,2016
Rotterdam,Netherlands,72.96,27.8,51.7,56.02,76.42,113.35,51.9244201,4.4777326,2016
The Hague,Netherlands,78.13,40.19,60.27,61.52,77.9,112.76,52.0704978,4.3006999,2016
Utrecht,Netherlands,75.18,35.05,56.28,61.31,86.76,118.51,52.0907374,5.1214201,2016
Auckland,New Zealand,83.71,45.32,65.63,75.33,87.12,115.14,-36.8484597,174.7633315,2016
Christchurch,New Zealand,80.52,33.05,58.17,73.04,86.41,117.81,-43.5320544,172.6362254,2016
Hamilton,New Zealand,87.27,25.93,58.39,69.73,74.33,104.64,-37.7870012,175.279253,2016
Wellington,New Zealand,79.47,35.94,58.97,70.41,85.35,83.5,-41.2864603,174.776236,2016
Bergen,Norway,105.59,43.49,76.35,94.86,75.85,129.26,60.3912628,5.3220544,2016
Oslo,Norway,102.27,45.92,75.74,88.48,25.2,33.87,59.9138688,10.7522454,2016
Stavanger,Norway,112.21,39.92,78.17,102.76,112.63,112.84,58.9699756,5.7331074,2016
Trondheim,Norway,111.42,39.76,77.68,100.6,120.76,113.31,63.4305149,10.3950528,2016
Muscat,Oman,51.63,31.43,42.12,46.52,131.01,130.96,23.58589,58.4059227,2016
Islamabad,Pakistan,32.78,9.05,21.61,28.67,119.82,103.55,33.6844202,73.0478848,2016
Karachi,Pakistan,28.47,6.58,18.16,26.7,57.25,137.14,24.8607343,67.0011364,2016
Lahore,Pakistan,31.54,6.2,19.61,27.54,23.24,37.44,31.5203696,74.3587473,2016
Panama City,Panama,60.57,37.97,49.93,59.96,21.11,45.85,8.9823792,-79.5198696,2016
Asuncion,Paraguay,32.51,9.03,21.45,24.96,27.57,45.61,-25.2637399,-57.575926,2016
Lima,Peru,40.65,18.27,30.11,35.88,59.04,39.95,-12.0463731,-77.042754,2016
Cebu,Philippines,40.88,12.17,27.36,40.22,26.97,43.43,10.607936,123.8857747,2016
Davao,Philippines,32.88,5.9,20.18,30.44,27.95,50.49,7.190708,125.455341,2016
Makati,Philippines,48.43,32.65,41,44.59,25.97,27.1,14.554729,121.0244452,2016
Manila,Philippines,41.96,15.95,29.71,38.5,15.89,41.02,14.5995124,120.9842195,2016
Quezon City,Philippines,35.97,8.25,22.92,32.2,29.54,41.75,14.6760413,121.0437003,2016
Valenzuela,Philippines,31.51,3.5,18.32,31.41,26.07,46.8,14.7010556,120.9830225,2016
Bydgoszcz,Poland,39.89,12.04,26.77,31.25,20.94,44.25,53.1234804,18.0084378,2016
Gdansk,Poland,39.89,14.11,27.75,28.92,15.7,39.19,54.3520252,18.6466384,2016
Gdynia,Poland,38.79,12.38,26.35,30.11,36.3,69.55,54.5188898,18.5305409,2016
Katowice,Poland,36.61,10.89,24.5,29,33.25,73.02,50.2648919,19.0237815,2016
Krakow (Cracow),Poland,39.16,15.9,28.21,30.8,32.09,73.04,50.0646501,19.9449799,2016
Lodz,Poland,37,12.15,25.3,28.6,29.95,80.1,51.7592485,19.4559833,2016
Lublin,Poland,36.08,13.19,25.3,27.54,32.09,76.03,51.2464536,22.5684463,2016
Poznan,Poland,39.11,13.39,27,32.09,31.88,65.54,52.406374,16.9251681,2016
Szczecin,Poland,38.75,10.39,25.4,30.11,26.62,68.6,53.4285438,14.5528116,2016
Warsaw,Poland,41.15,19.34,30.88,31.76,33.42,69.07,52.2296756,21.0122287,2016
Wroclaw,Poland,39.44,16.55,28.66,30.73,30.86,68.01,51.1078852,17.0385376,2016
Braga,Portugal,46.84,11.82,30.35,36.51,35.19,80.18,41.5454486,-8.426507,2016
Coimbra,Portugal,47.34,14.06,31.67,36.82,33.16,74.91,40.2033145,-8.4102573,2016
Lisbon,Portugal,51.65,21.87,37.62,41.09,36.23,70.01,38.7222524,-9.1393366,2016
Porto,Portugal,49.26,16.26,33.72,38.58,38.26,75.13,41.1579438,-8.6291053,2016
San Juan,Puerto Rico,67.31,25.49,47.62,61.73,45.85,68.2,18.4655394,-66.1057355,2016
Doha,Qatar,66.92,70.42,68.57,53.54,40.05,72.67,25.2854473,51.5310398,2016
Arad,Romania,34.74,8.1,22.2,28.77,66.63,89.14,46.1865606,21.3122677,2016
Brasov,Romania,35.57,8.66,22.9,28.37,72.68,129.92,45.6579755,25.6011977,2016
Bucharest,Romania,39.34,12.35,26.63,31.2,26.16,61.51,44.4267674,26.1025384,2016
Cluj-napoca,Romania,37.5,11.37,25.19,31.93,31.28,59.83,46.7712101,23.6236353,2016
Craiova,Romania,31.53,5.9,19.46,25.18,35.91,54.54,44.3301785,23.7948807,2016
Iasi,Romania,34.76,9.75,22.98,27.69,29.49,56.3,47.1584549,27.6014418,2016
Sibiu,Romania,36.53,8.09,23.14,29.26,23.59,57.37,45.7983273,24.1255826,2016
Timisoara,Romania,36.22,9.21,23.5,29.55,28.27,50.39,45.7488716,21.2086793,2016
Moscow,Russia,41.12,27.14,34.54,31.01,29.35,46.94,55.755826,37.6172999,2016
Novosibirsk,Russia,30.78,10.11,21.05,27.39,27.72,56.42,55.0083526,82.9357327,2016
Saint Petersburg,Russia,38.06,17.41,28.34,30.16,48.63,60.83,59.9342802,30.3350986,2016
Yekaterinburg,Russia,33.82,11.38,23.25,27.96,27.76,52.39,56.8389261,60.6057025,2016
Kigali,Rwanda,39.42,13.02,26.99,31.09,40.38,53.91,-1.9705786,30.1044288,2016
Ad Dammam,Saudi Arabia,67.75,13.5,42.21,79.66,34.61,51.11,26.4206828,50.0887943,2016
Al Khobar,Saudi Arabia,47.54,15.95,32.67,40.29,29.46,28.74,26.2171906,50.1971381,2016
Jeddah (Jiddah),Saudi Arabia,48.98,14.91,32.94,39.64,34.24,108.9,21.485811,39.1925048,2016
